case,build,mode,origin,k_obs,d_star,num_predicted_clusters,family_pair_recall,collision_with,observed_relation_patterns
family_graph_01,O3S,full,shared_recursive,3,-,1,3/3=1.00,-,3*[self=1; dout=0; din=2; out=-; in=anchor:root*2; process*5]
family_graph_01,O3S,full,process,3,-,1,3/3=1.00,-,3*[self=0; dout=1; din=1; out=shared_recursive*5; in=anchor:root*2]
family_graph_02,O3S,full,process_beta,2,-,1,1/1=1.00,-,2*[self=0; dout=1; din=1; out=recurse_beta*5; in=anchor:root*2]
family_graph_02,O3S,full,recurse_beta,2,-,1,1/1=1.00,-,2*[self=2; dout=0; din=1; out=-; in=process_beta*5]
family_graph_02,O3S,full,process_alpha,2,-,1,1/1=1.00,c_process_alpha_i32;c_process_alpha_wide,2*[self=0; dout=1; din=1; out=recurse_alpha*5; in=anchor:root*2]
family_graph_02,O3S,full,recurse_alpha,2,-,1,1/1=1.00,c_recurse_alpha_i32;c_recurse_alpha_wide,2*[self=1; dout=0; din=1; out=-; in=process_alpha*5]
family_graph_02,O3S,full,c_process_alpha_i32,1,-,1,n/a,c_process_alpha_wide;process_alpha,1*[self=0; dout=1; din=1; out=c_recurse_alpha_i32*5; in=anchor:root*2]
family_graph_02,O3S,full,c_recurse_alpha_i32,1,-,1,n/a,c_recurse_alpha_wide;recurse_alpha,1*[self=1; dout=0; din=1; out=-; in=c_process_alpha_i32*5]
family_graph_02,O3S,full,c_process_alpha_wide,1,-,1,n/a,c_process_alpha_i32;process_alpha,1*[self=0; dout=1; din=1; out=c_recurse_alpha_wide*5; in=anchor:root*2]
family_graph_02,O3S,full,c_recurse_alpha_wide,1,-,1,n/a,c_recurse_alpha_i32;recurse_alpha,1*[self=1; dout=0; din=1; out=-; in=c_process_alpha_wide*5]
family_graph_03,O3S,full,share,3,0,2,1/3=0.33,-,2*[self=0; dout=1; din=2; out=leaf_p*2; in=drive_x*2; drive_y*3] | 1*[self=0; dout=0; din=2; out=-; in=drive_x*2; drive_y*3]
family_graph_03,O3S,full,leaf_p,2,-,1,1/1=1.00,-,2*[self=0; dout=0; din=1; out=-; in=share*2]
family_graph_03,O3S,full,decoy_a,1,-,1,n/a,decoy_b,1*[self=0; dout=0; din=1; out=-; in=anchor:root*2]
family_graph_03,O3S,full,decoy_b,1,-,1,n/a,decoy_a,1*[self=0; dout=0; din=1; out=-; in=anchor:root*2]
family_graph_03,O3S,full,drive_x,3,1,2,1/3=0.33,-,3*[self=0; dout=1; din=1; out=share*2; in=anchor:root*2]
family_graph_03,O3S,full,drive_y,3,1,2,1/3=0.33,-,3*[self=0; dout=1; din=1; out=share*3; in=anchor:root*2]
family_graph_03,O3KS,full,share,3,-,1,3/3=1.00,-,3*[self=0; dout=2; din=2; out=leaf_p*2; leaf_q*1; in=drive_x*2; drive_y*3]
family_graph_03,O3KS,full,leaf_p,3,-,1,3/3=1.00,-,3*[self=0; dout=0; din=1; out=-; in=share*2]
family_graph_03,O3KS,full,leaf_q,3,-,1,3/3=1.00,-,3*[self=0; dout=0; din=1; out=-; in=share*1]
family_graph_03,O3KS,full,decoy_a,1,-,1,n/a,decoy_b,1*[self=0; dout=0; din=1; out=-; in=anchor:root*2]
family_graph_03,O3KS,full,decoy_b,1,-,1,n/a,decoy_a,1*[self=0; dout=0; din=1; out=-; in=anchor:root*2]
family_graph_03,O3KS,full,drive_x,3,-,1,3/3=1.00,-,3*[self=0; dout=1; din=1; out=share*2; in=anchor:root*2]
family_graph_03,O3KS,full,drive_y,3,-,1,3/3=1.00,-,3*[self=0; dout=1; din=1; out=share*3; in=anchor:root*2]
