case,build,origin,member,symbol,self_call_count,distinct_out_callee_count,distinct_in_caller_count,out_edges,out_by_label,in_edges,in_by_label
family_graph_01,O3S,shared_recursive,FUN_00113e20,shared_recursive,1,0,2,-,-,FUN_00114020(anchor:root)*2; FUN_00114880(process)*5,anchor:root*2; process*5
family_graph_01,O3S,shared_recursive,FUN_00113f00,shared_recursive,1,0,2,-,-,FUN_00114020(anchor:root)*2; FUN_00114460(process)*5,anchor:root*2; process*5
family_graph_01,O3S,shared_recursive,FUN_00113f80,shared_recursive,1,0,2,-,-,FUN_00114020(anchor:root)*2; FUN_00114640(process)*5,anchor:root*2; process*5
family_graph_01,O3S,process,FUN_00114460,process,0,1,1,FUN_00113f00(shared_recursive)*5,shared_recursive*5,FUN_00114020(anchor:root)*2,anchor:root*2
family_graph_01,O3S,process,FUN_00114640,process,0,1,1,FUN_00113f80(shared_recursive)*5,shared_recursive*5,FUN_00114020(anchor:root)*2,anchor:root*2
family_graph_01,O3S,process,FUN_00114880,process,0,1,1,FUN_00113e20(shared_recursive)*5,shared_recursive*5,FUN_00114020(anchor:root)*2,anchor:root*2
family_graph_02,O3S,process_beta,FUN_00113fd0,process_beta,0,1,1,FUN_001144d0(recurse_beta)*5,recurse_beta*5,FUN_00115000(anchor:root)*2,anchor:root*2
family_graph_02,O3S,process_beta,FUN_001140f0,process_beta,0,1,1,FUN_00114350(recurse_beta)*5,recurse_beta*5,FUN_00115000(anchor:root)*2,anchor:root*2
family_graph_02,O3S,recurse_beta,FUN_00114350,recurse_beta,2,0,1,-,-,FUN_001140f0(process_beta)*5,process_beta*5
family_graph_02,O3S,recurse_beta,FUN_001144d0,recurse_beta,2,0,1,-,-,FUN_00113fd0(process_beta)*5,process_beta*5
family_graph_02,O3S,process_alpha,FUN_00114590,process_alpha,0,1,1,FUN_001149a0(recurse_alpha)*5,recurse_alpha*5,FUN_00115000(anchor:root)*2,anchor:root*2
family_graph_02,O3S,process_alpha,FUN_001147f0,process_alpha,0,1,1,FUN_00114910(recurse_alpha)*5,recurse_alpha*5,FUN_00115000(anchor:root)*2,anchor:root*2
family_graph_02,O3S,recurse_alpha,FUN_00114910,recurse_alpha,1,0,1,-,-,FUN_001147f0(process_alpha)*5,process_alpha*5
family_graph_02,O3S,recurse_alpha,FUN_001149a0,recurse_alpha,1,0,1,-,-,FUN_00114590(process_alpha)*5,process_alpha*5
family_graph_02,O3S,c_process_alpha_i32,FUN_00114ac0,c_process_alpha_i32,0,1,1,FUN_00114be0(c_recurse_alpha_i32)*5,c_recurse_alpha_i32*5,FUN_00115000(anchor:root)*2,anchor:root*2
family_graph_02,O3S,c_recurse_alpha_i32,FUN_00114be0,c_recurse_alpha_i32,1,0,1,-,-,FUN_00114ac0(c_process_alpha_i32)*5,c_process_alpha_i32*5
family_graph_02,O3S,c_process_alpha_wide,FUN_00114c70,c_process_alpha_wide,0,1,1,FUN_00114ee0(c_recurse_alpha_wide)*5,c_recurse_alpha_wide*5,FUN_00115000(anchor:root)*2,anchor:root*2
family_graph_02,O3S,c_recurse_alpha_wide,FUN_00114ee0,c_recurse_alpha_wide,1,0,1,-,-,FUN_00114c70(c_process_alpha_wide)*5,c_process_alpha_wide*5
family_graph_03,O3S,share,FUN_00114690,share,0,1,2,FUN_00115260(leaf_p)*2,leaf_p*2,FUN_00115bb0(drive_x)*2; FUN_00116000(drive_y)*3,drive_x*2; drive_y*3
family_graph_03,O3S,share,FUN_00114a10,share,0,1,2,FUN_001154d0(leaf_p)*2,leaf_p*2,FUN_00115960(drive_x)*2; FUN_00116330(drive_y)*3,drive_x*2; drive_y*3
family_graph_03,O3S,share,FUN_00114d70,share,0,0,2,-,-,FUN_00115e70(drive_x)*2; FUN_00116590(drive_y)*3,drive_x*2; drive_y*3
family_graph_03,O3S,leaf_p,FUN_00115260,leaf_p,0,0,1,-,-,FUN_00114690(share)*2,share*2
family_graph_03,O3S,leaf_p,FUN_001154d0,leaf_p,0,0,1,-,-,FUN_00114a10(share)*2,share*2
family_graph_03,O3S,decoy_a,FUN_001156e0,decoy_a,0,0,1,-,-,FUN_00113fe0(anchor:root)*2,anchor:root*2
family_graph_03,O3S,decoy_b,FUN_001157e0,decoy_b,0,0,1,-,-,FUN_00113fe0(anchor:root)*2,anchor:root*2
family_graph_03,O3S,drive_x,FUN_00115960,drive_x,0,1,1,FUN_00114a10(share)*2,share*2,FUN_00113fe0(anchor:root)*2,anchor:root*2
family_graph_03,O3S,drive_x,FUN_00115bb0,drive_x,0,1,1,FUN_00114690(share)*2,share*2,FUN_00113fe0(anchor:root)*2,anchor:root*2
family_graph_03,O3S,drive_x,FUN_00115e70,drive_x,0,1,1,FUN_00114d70(share)*2,share*2,FUN_00113fe0(anchor:root)*2,anchor:root*2
family_graph_03,O3S,drive_y,FUN_00116000,drive_y,0,1,1,FUN_00114690(share)*3,share*3,FUN_00113fe0(anchor:root)*2,anchor:root*2
family_graph_03,O3S,drive_y,FUN_00116330,drive_y,0,1,1,FUN_00114a10(share)*3,share*3,FUN_00113fe0(anchor:root)*2,anchor:root*2
family_graph_03,O3S,drive_y,FUN_00116590,drive_y,0,1,1,FUN_00114d70(share)*3,share*3,FUN_00113fe0(anchor:root)*2,anchor:root*2
family_graph_03,O3KS,share,FUN_00114720,share,0,2,2,FUN_00114b20(leaf_p)*2; FUN_00115250(leaf_q)*1,leaf_p*2; leaf_q*1,FUN_00115b50(drive_x)*2; FUN_00115fa0(drive_y)*3,drive_x*2; drive_y*3
family_graph_03,O3KS,share,FUN_001148e0,share,0,2,2,FUN_00114ef0(leaf_p)*2; FUN_00115440(leaf_q)*1,leaf_p*2; leaf_q*1,FUN_00115900(drive_x)*2; FUN_001162d0(drive_y)*3,drive_x*2; drive_y*3
family_graph_03,O3KS,share,FUN_00114a30,share,0,2,2,FUN_00114d90(leaf_p)*2; FUN_00115100(leaf_q)*1,leaf_p*2; leaf_q*1,FUN_00115e10(drive_x)*2; FUN_00116530(drive_y)*3,drive_x*2; drive_y*3
family_graph_03,O3KS,leaf_p,FUN_00114b20,leaf_p,0,0,1,-,-,FUN_00114720(share)*2,share*2
family_graph_03,O3KS,leaf_p,FUN_00114d90,leaf_p,0,0,1,-,-,FUN_00114a30(share)*2,share*2
family_graph_03,O3KS,leaf_p,FUN_00114ef0,leaf_p,0,0,1,-,-,FUN_001148e0(share)*2,share*2
family_graph_03,O3KS,leaf_q,FUN_00115100,leaf_q,0,0,1,-,-,FUN_00114a30(share)*1,share*1
family_graph_03,O3KS,leaf_q,FUN_00115250,leaf_q,0,0,1,-,-,FUN_00114720(share)*1,share*1
family_graph_03,O3KS,leaf_q,FUN_00115440,leaf_q,0,0,1,-,-,FUN_001148e0(share)*1,share*1
family_graph_03,O3KS,decoy_a,FUN_00115680,decoy_a,0,0,1,-,-,FUN_00114070(anchor:root)*2,anchor:root*2
family_graph_03,O3KS,decoy_b,FUN_00115780,decoy_b,0,0,1,-,-,FUN_00114070(anchor:root)*2,anchor:root*2
family_graph_03,O3KS,drive_x,FUN_00115900,drive_x,0,1,1,FUN_001148e0(share)*2,share*2,FUN_00114070(anchor:root)*2,anchor:root*2
family_graph_03,O3KS,drive_x,FUN_00115b50,drive_x,0,1,1,FUN_00114720(share)*2,share*2,FUN_00114070(anchor:root)*2,anchor:root*2
family_graph_03,O3KS,drive_x,FUN_00115e10,drive_x,0,1,1,FUN_00114a30(share)*2,share*2,FUN_00114070(anchor:root)*2,anchor:root*2
family_graph_03,O3KS,drive_y,FUN_00115fa0,drive_y,0,1,1,FUN_00114720(share)*3,share*3,FUN_00114070(anchor:root)*2,anchor:root*2
family_graph_03,O3KS,drive_y,FUN_001162d0,drive_y,0,1,1,FUN_001148e0(share)*3,share*3,FUN_00114070(anchor:root)*2,anchor:root*2
family_graph_03,O3KS,drive_y,FUN_00116530,drive_y,0,1,1,FUN_00114a30(share)*3,share*3,FUN_00114070(anchor:root)*2,anchor:root*2
