case,build,origin,k_obs,members,symbols
family_graph_01,O3S,shared_recursive,3,FUN_00113e20;FUN_00113f00;FUN_00113f80,shared_recursive;shared_recursive;shared_recursive
family_graph_01,O3S,process,3,FUN_00114460;FUN_00114640;FUN_00114880,process;process;process
family_graph_02,O3S,process_beta,2,FUN_00113fd0;FUN_001140f0,process_beta;process_beta
family_graph_02,O3S,recurse_beta,2,FUN_00114350;FUN_001144d0,recurse_beta;recurse_beta
family_graph_02,O3S,process_alpha,2,FUN_00114590;FUN_001147f0,process_alpha;process_alpha
family_graph_02,O3S,recurse_alpha,2,FUN_00114910;FUN_001149a0,recurse_alpha;recurse_alpha
family_graph_02,O3S,c_process_alpha_i32,1,FUN_00114ac0,c_process_alpha_i32
family_graph_02,O3S,c_recurse_alpha_i32,1,FUN_00114be0,c_recurse_alpha_i32
family_graph_02,O3S,c_process_alpha_wide,1,FUN_00114c70,c_process_alpha_wide
family_graph_02,O3S,c_recurse_alpha_wide,1,FUN_00114ee0,c_recurse_alpha_wide
family_graph_03,O3S,share,3,FUN_00114690;FUN_00114a10;FUN_00114d70,share;share;share
family_graph_03,O3S,leaf_p,2,FUN_00115260;FUN_001154d0,leaf_p;leaf_p
family_graph_03,O3S,decoy_a,1,FUN_001156e0,decoy_a
family_graph_03,O3S,decoy_b,1,FUN_001157e0,decoy_b
family_graph_03,O3S,drive_x,3,FUN_00115960;FUN_00115bb0;FUN_00115e70,drive_x;drive_x;drive_x
family_graph_03,O3S,drive_y,3,FUN_00116000;FUN_00116330;FUN_00116590,drive_y;drive_y;drive_y
family_graph_03,O3KS,share,3,FUN_00114720;FUN_001148e0;FUN_00114a30,share;share;share
family_graph_03,O3KS,leaf_p,3,FUN_00114b20;FUN_00114d90;FUN_00114ef0,leaf_p;leaf_p;leaf_p
family_graph_03,O3KS,leaf_q,3,FUN_00115100;FUN_00115250;FUN_00115440,leaf_q;leaf_q;leaf_q
family_graph_03,O3KS,decoy_a,1,FUN_00115680,decoy_a
family_graph_03,O3KS,decoy_b,1,FUN_00115780,decoy_b
family_graph_03,O3KS,drive_x,3,FUN_00115900;FUN_00115b50;FUN_00115e10,drive_x;drive_x;drive_x
family_graph_03,O3KS,drive_y,3,FUN_00115fa0;FUN_001162d0;FUN_00116530,drive_y;drive_y;drive_y
