case,build,mode,cluster,members,symbols,origins,relation_patterns
family_graph_01,O3S,full,C1,FUN_00113e20;FUN_00113f00;FUN_00113f80,shared_recursive;shared_recursive;shared_recursive,shared_recursive,3*[self=1; dout=0; din=2; out=-; in=anchor:root*2; process*5]
family_graph_01,O3S,full,C2,FUN_00114460;FUN_00114640;FUN_00114880,process;process;process,process,3*[self=0; dout=1; din=1; out=shared_recursive*5; in=anchor:root*2]
family_graph_02,O3S,full,C1,FUN_00113fd0;FUN_001140f0,process_beta;process_beta,process_beta,2*[self=0; dout=1; din=1; out=recurse_beta*5; in=anchor:root*2]
family_graph_02,O3S,full,C2,FUN_00114350;FUN_001144d0,recurse_beta;recurse_beta,recurse_beta,2*[self=2; dout=0; din=1; out=-; in=process_beta*5]
family_graph_02,O3S,full,C3,FUN_00114590;FUN_001147f0;FUN_00114ac0;FUN_00114c70,process_alpha;process_alpha;c_process_alpha_i32;c_process_alpha_wide,c_process_alpha_i32;c_process_alpha_wide;process_alpha,2*[self=0; dout=1; din=1; out=recurse_alpha*5; in=anchor:root*2] | 1*[self=0; dout=1; din=1; out=c_recurse_alpha_i32*5; in=anchor:root*2] | 1*[self=0; dout=1; din=1; out=c_recurse_alpha_wide*5; in=anchor:root*2]
family_graph_02,O3S,full,C4,FUN_00114910;FUN_001149a0;FUN_00114be0;FUN_00114ee0,recurse_alpha;recurse_alpha;c_recurse_alpha_i32;c_recurse_alpha_wide,c_recurse_alpha_i32;c_recurse_alpha_wide;recurse_alpha,2*[self=1; dout=0; din=1; out=-; in=process_alpha*5] | 1*[self=1; dout=0; din=1; out=-; in=c_process_alpha_i32*5] | 1*[self=1; dout=0; din=1; out=-; in=c_process_alpha_wide*5]
family_graph_03,O3S,full,C1,FUN_00114690;FUN_00114a10,share;share,share,2*[self=0; dout=1; din=2; out=leaf_p*2; in=drive_x*2; drive_y*3]
family_graph_03,O3S,full,C2,FUN_00114d70,share,share,1*[self=0; dout=0; din=2; out=-; in=drive_x*2; drive_y*3]
family_graph_03,O3S,full,C3,FUN_00115260;FUN_001154d0,leaf_p;leaf_p,leaf_p,2*[self=0; dout=0; din=1; out=-; in=share*2]
family_graph_03,O3S,full,C4,FUN_001156e0;FUN_001157e0,decoy_a;decoy_b,decoy_a;decoy_b,2*[self=0; dout=0; din=1; out=-; in=anchor:root*2]
family_graph_03,O3S,full,C5,FUN_00115960;FUN_00115bb0,drive_x;drive_x,drive_x,2*[self=0; dout=1; din=1; out=share*2; in=anchor:root*2]
family_graph_03,O3S,full,C6,FUN_00115e70,drive_x,drive_x,1*[self=0; dout=1; din=1; out=share*2; in=anchor:root*2]
family_graph_03,O3S,full,C7,FUN_00116000;FUN_00116330,drive_y;drive_y,drive_y,2*[self=0; dout=1; din=1; out=share*3; in=anchor:root*2]
family_graph_03,O3S,full,C8,FUN_00116590,drive_y,drive_y,1*[self=0; dout=1; din=1; out=share*3; in=anchor:root*2]
family_graph_03,O3KS,full,C1,FUN_00114720;FUN_001148e0;FUN_00114a30,share;share;share,share,3*[self=0; dout=2; din=2; out=leaf_p*2; leaf_q*1; in=drive_x*2; drive_y*3]
family_graph_03,O3KS,full,C2,FUN_00114b20;FUN_00114d90;FUN_00114ef0,leaf_p;leaf_p;leaf_p,leaf_p,3*[self=0; dout=0; din=1; out=-; in=share*2]
family_graph_03,O3KS,full,C3,FUN_00115100;FUN_00115250;FUN_00115440,leaf_q;leaf_q;leaf_q,leaf_q,3*[self=0; dout=0; din=1; out=-; in=share*1]
family_graph_03,O3KS,full,C4,FUN_00115680;FUN_00115780,decoy_a;decoy_b,decoy_a;decoy_b,2*[self=0; dout=0; din=1; out=-; in=anchor:root*2]
family_graph_03,O3KS,full,C5,FUN_00115900;FUN_00115b50;FUN_00115e10,drive_x;drive_x;drive_x,drive_x,3*[self=0; dout=1; din=1; out=share*2; in=anchor:root*2]
family_graph_03,O3KS,full,C6,FUN_00115fa0;FUN_001162d0;FUN_00116530,drive_y;drive_y;drive_y,drive_y,3*[self=0; dout=1; din=1; out=share*3; in=anchor:root*2]
